					
3.385					44.50
0.480					15.50
1.350					8.10
465.000					423.00
36.330					119.50
27.660					115.00
14.830					98.20
1.040					5.50
4.190					58.00
0.425					6.40
0.101					4.00
0.920					5.70
1.000					6.60
0.005					0.14
0.060					1.00
3.500					10.80
2.000					12.30
1.700					6.30
2547.000					4603.00
0.023					0.30
187.100					419.00
521.000					655.00
0.785					3.50
10.000					115.00
3.300					25.60
0.200					5.00
1.410					17.50
529.000					680.00
207.000					406.00
85.000					325.00
0.750					12.30
62.000					1320.00
6654.000					5712.00
3.500					3.90
6.800					179.00
35.000					56.00
4.050					17.00
0.120					1.00
0.023					4.00
0.010					0.25
1.400					12.50
250.000					490.00
2.500					12.10
55.500					175.00
100.000					157.00
52.160					440.00
10.550					179.50
0.550					2.40
60.000					81.00
3.600					21.00
4.288					39.20
0.280					1.90
0.075					1.20
0.122					3.00
0.048					0.33
192.000					180.00
3.000					25.00
160.000					169.00
0.900					2.60
1.620					11.40
0.104					2.50
4.235					50.40
